Project Name,delta_psf_pred,PSF_pred,UB,LB,Profit,Risk,Property Score,Year,Q,YYYYQQ,Mean DPPI_percent,Mean Vol,Age_Q,Covid,MRT,Schools
NEPTUNE COURT,0.02026829065942137,1297.085173186268,1474.385291081728,1119.785055290809,0.3112864049518974,0.2393427221078375,1.300588554397928,2026,2,2026Q2,0.007041001207547171,6.09433962264151,210.0,0,0,0
DUNMAN VIEW,0.01997888643936337,1765.231076264699,2033.369116070214,1497.093036459186,0.345450515445655,0.3735239807202383,0.9248415986024476,2026,2,2026Q2,0.01844927425925926,3.518518518518519,122.0,0,0,1
LAGOON VIEW,0.02823538357559683,1695.264680474362,2086.672496310412,1303.856864638313,0.4767113941414307,0.7794238479897954,0.6116202312399248,2026,2,2026Q2,0.007720312709999999,3.1,203.0,0,1,0
RIVEREDGE,0.02857010772695585,2406.906875348193,2732.878231010961,2080.935519685424,0.4834557012931852,0.8079260402327662,0.5983910373205695,2026,2,2026Q2,0.009930039404255318,2.851063829787234,97.0,0,0,0
CASUARINA COVE,0.02496996640714859,2008.424706547027,2395.056009342211,1621.793403751842,0.4123943084015658,0.6947923004913478,0.5935504871166909,2026,2,2026Q2,0.01524480118461539,2.384615384615385,138.0,0,1,0
TANJONG RIA CONDOMINIUM,0.01879782601146378,1806.638950113544,2233.088317557669,1380.189582669419,0.2978728089896147,0.581467879176022,0.5122773237478223,2026,2,2026Q2,0.01405806950666667,2.973333333333333,140.0,0,1,0
COSTA RHU,0.02781148389172219,2089.910496151988,2355.120335163367,1824.70065714061,0.4682111617995759,2.265164446291156,0.2067007375849451,2026,2,2026Q2,0.01502429175,6.95,136.0,0,0,0
LEGENDA AT JOO CHIAT,0.02230973082031383,1777.319216412463,2214.505985648134,1340.132447176792,0.3619304340325389,3.14390772471734,0.1151212012957788,2026,2,2026Q2,0.01577313421428572,2.25,108.0,0,0,0
COTE D'AZUR,0.007899940645771134,1787.232076614269,2158.878641691328,1415.58551153721,0.1164618169754305,1.326321052093353,0.08780816438947195,2026,2,2026Q2,0.01560181673684211,5.263157894736842,107.0,0,1,1
District 15,0.01192442526618744,1693.853783755161,2078.139893835302,1309.567673675019,0.1815760651516831,3.219514417021025,0.05639858737445662,2026,2,2026Q2,0.01003017208333334,3.375,134.1666666666667,0,1,1
SILVERSEA,-0.009758547125355935,1972.695207757105,2276.149844945695,1669.240570568515,-0.1282831605138732,2.327164529086176,-0.05512423333654326,2026,2,2026Q2,0.009600835689655174,4.482758620689655,83.0,0,0,1
LAGUNA PARK,-0.003844329129678317,1031.70164814243,1227.551304545099,835.8519917397608,-0.04707653473133133,0.2675728355208659,-0.1759391406070449,2026,2,2026Q2,0.004849050894736842,4.357894736842105,205.0,0,1,0
