Project Name,Date,Area(sqft),Bedrooms,Price(S$ psf),Price (S$),Type of Sale,Address,Type of Area,Purchaser Address,Source
VILLA MARINA,22 FEB 2023,"2,013",3,"1,038","2,090,000",Resale,27 Jalan Sempadan #04-15,Strata,Private,URA
VILLA MARINA,9 FEB 2023,"1,281",3,"1,302","1,668,000",Resale,31 Jalan Sempadan #03-02,Strata,Private,URA
VILLA MARINA,3 JAN 2023,"1,087",2,"1,357","1,475,000",Resale,33 Jalan Sempadan #03-04,Strata,Private,URA
VILLA MARINA,8 DEC 2022,"1,281",3,"1,319","1,690,000",Resale,27 Jalan Sempadan #02-10,Strata,Private,URA
VILLA MARINA,10 NOV 2022,"1,561",3,"1,044","1,630,000",Resale,21 Jalan Sempadan #01-07,Strata,Private,URA
VILLA MARINA,7 NOV 2022,"1,152",3,"1,320","1,520,000",Resale,37 Jalan Sempadan #02-08,Strata,HDB,URA
VILLA MARINA,21 OCT 2022,"1,572",3,"1,114","1,750,000",Resale,23 Jalan Sempadan #01-03,Strata,Private,URA
VILLA MARINA,7 OCT 2022,"2,013",3,"1,018","2,050,000",Resale,25 Jalan Sempadan #04-19,Strata,Private,URA
VILLA MARINA,4 OCT 2022,"1,679",3,"1,087","1,825,000",Resale,29 Jalan Sempadan #01-01,Strata,Private,URA
VILLA MARINA,19 JUL 2022,"1,281",3,"1,210","1,550,000",Resale,21 Jalan Sempadan #03-15,Strata,Private,URA
VILLA MARINA,27 MAY 2022,"1,130",2,"1,309","1,480,000",Resale,29 Jalan Sempadan #02-10,Strata,Private,URA
VILLA MARINA,26 MAY 2022,"1,249",2,"1,129","1,410,000",Resale,31 Jalan Sempadan #03-04,Strata,Private,URA
VILLA MARINA,24 MAY 2022,"1,507",2,"1,029","1,550,000",Resale,29 Jalan Sempadan #01-03,Strata,HDB,URA
VILLA MARINA,28 APR 2022,"2,013",3,984,"1,980,000",Resale,27 Jalan Sempadan #04-07,Strata,Private,URA
VILLA MARINA,18 MAR 2022,"1,281",1,"1,171","1,500,000",Resale,23 Jalan Sempadan #02-02,Strata,Private,URA
VILLA MARINA,16 FEB 2022,"1,916",3,953,"1,825,000",Resale,25 Jalan Sempadan #04-17,Strata,Private,URA
VILLA MARINA,4 FEB 2022,"2,013",3,959,"1,930,000",Resale,29 Jalan Sempadan #04-02,Strata,Private,URA
VILLA MARINA,21 JAN 2022,"2,013",3,909,"1,830,000",Resale,25 Jalan Sempadan #04-06,Strata,Private,URA
VILLA MARINA,3 JAN 2022,"1,152",3,"1,181","1,360,000",Resale,23 Jalan Sempadan #04-08,Strata,Private,URA
VILLA MARINA,3 DEC 2021,"1,507",2,"1,120","1,688,000",Resale,29 Jalan Sempadan #01-13,Strata,Private,URA
VILLA MARINA,17 NOV 2021,"1,399",3,"1,058","1,480,000",Resale,23 Jalan Sempadan #01-07,Strata,HDB,URA
VILLA MARINA,26 OCT 2021,"1,249",2,"1,105","1,380,000",Resale,31 Jalan Sempadan #03-01,Strata,Private,URA
VILLA MARINA,22 OCT 2021,"1,130",2,"1,150","1,300,000",Resale,25 Jalan Sempadan #03-19,Strata,Private,URA
VILLA MARINA,21 OCT 2021,"1,130",2,"1,150","1,300,000",Resale,29 Jalan Sempadan #03-10,Strata,Private,URA
VILLA MARINA,5 OCT 2021,"1,087",2,"1,168","1,270,000",Resale,33 Jalan Sempadan #02-08,Strata,HDB,URA
VILLA MARINA,6 SEP 2021,"1,281",3,"1,089","1,395,000",Resale,21 Jalan Sempadan #02-14,Strata,Private,URA
VILLA MARINA,19 AUG 2021,"1,130",2,"1,133","1,280,000",Resale,29 Jalan Sempadan #02-14,Strata,Private,URA
VILLA MARINA,16 JUL 2021,"1,561",3,916,"1,430,000",Resale,25 Jalan Sempadan #01-18,Strata,HDB,URA
VILLA MARINA,18 MAY 2021,"2,024",4,914,"1,850,000",Resale,21 Jalan Sempadan #04-08,Strata,Private,URA
VILLA MARINA,12 MAY 2021,"1,496",3,902,"1,350,000",Resale,33 Jalan Sempadan #01-04,Strata,Private,URA
VILLA MARINA,30 APR 2021,"1,496",3,856,"1,280,000",Resale,25 Jalan Sempadan #01-16,Strata,Private,URA
VILLA MARINA,30 APR 2021,"1,152",3,"1,111","1,280,000",Resale,23 Jalan Sempadan #03-05,Strata,HDB,URA
VILLA MARINA,27 APR 2021,"2,013",3,944,"1,900,000",Resale,29 Jalan Sempadan #04-06,Strata,Private,URA
VILLA MARINA,18 MAR 2021,"1,711",3,894,"1,530,000",Resale,29 Jalan Sempadan #01-04,Strata,Private,URA
VILLA MARINA,2 MAR 2021,"1,130",2,"1,150","1,300,000",Resale,23 Jalan Sempadan #02-07,Strata,Private,URA
VILLA MARINA,26 FEB 2021,"1,442",2,919,"1,325,000",Resale,25 Jalan Sempadan #01-02,Strata,Private,URA
VILLA MARINA,10 FEB 2021,"1,249",4,"1,089","1,360,000",Resale,27 Jalan Sempadan #03-01,Strata,Private,URA
VILLA MARINA,22 JAN 2021,"1,249",2,"1,064","1,328,000",Resale,21 Jalan Sempadan #02-08,Strata,Private,URA
VILLA MARINA,30 DEC 2020,"1,249",4,"1,057","1,320,000",Resale,25 Jalan Sempadan #03-01,Strata,Private,URA
VILLA MARINA,29 DEC 2020,"2,314",3,799,"1,850,000",Resale,31 Jalan Sempadan #04-03,Strata,Private,URA
