T_index,C_index,Project Name,Year,Q,YYYYQQ,Avg_PSF,Vol,DPSF,DPSF_percent,Age_Q,Balas,Covid,MRT,Schools,PPI,DPPI,DPPI_percent,Test_Train
1,1,CAMELOT BY-THE-WATER,2002,2,2002Q2,740,1,0,0,32,0.95,0,0,0,81.4,-0.6,-0.007317073,Train
2,2,CAMELOT BY-THE-WATER,2002,4,2002Q4,715,1,-25,-0.033783784,34,0.949,0,0,0,81.3,-0.3,-0.003676471,Train
3,3,CAMELOT BY-THE-WATER,2003,2,2003Q2,663.25,4,-51.75,-0.072377622,36,0.948,0,0,0,80.2,-0.4,-0.004962779,Train
4,4,CAMELOT BY-THE-WATER,2005,1,2005Q1,557,1,-106.25,-0.160196005,43,0.9438,0,0,0,81.4,0.6,0.007425743,Train
5,5,CAMELOT BY-THE-WATER,2005,3,2005Q3,632,4,75,0.13464991,45,0.9423,0,0,0,83.1,1.2,0.014652015,Train
6,6,CAMELOT BY-THE-WATER,2005,4,2005Q4,532,2,-100,-0.158227848,46,0.9415,0,0,0,84.4,1.3,0.015643803,Train
7,7,CAMELOT BY-THE-WATER,2006,1,2006Q1,652.5,8,120.5,0.226503759,47,0.9408,0,0,0,85.7,1.3,0.015402844,Train
8,8,CAMELOT BY-THE-WATER,2006,2,2006Q2,607.32,19,-45.18,-0.069247832,48,0.94,0,0,0,87.2,1.5,0.017502917,Train
9,9,CAMELOT BY-THE-WATER,2006,3,2006Q3,626.23,13,18.91,0.031145213,49,0.939,0,0,0,90,2.8,0.032110092,Train
10,10,CAMELOT BY-THE-WATER,2006,4,2006Q4,762.75,4,136.52,0.218001474,50,0.938,0,0,0,93.8,3.8,0.042222222,Train
11,11,CAMELOT BY-THE-WATER,2007,1,2007Q1,882.17,6,119.42,0.15656069,51,0.937,0,0,0,98.8,5,0.053304904,Train
12,12,CAMELOT BY-THE-WATER,2007,2,2007Q2,1093,1,210.83,0.238994899,52,0.936,0,0,0,107.1,8.3,0.084008097,Train
13,13,CAMELOT BY-THE-WATER,2007,3,2007Q3,1296.5,2,203.5,0.186184812,53,0.9353,0,0,0,116,8.9,0.083099907,Train
14,14,CAMELOT BY-THE-WATER,2007,4,2007Q4,1218,1,-78.5,-0.060547628,54,0.9345,0,0,0,124.4,8.4,0.072413793,Train
15,15,CAMELOT BY-THE-WATER,2008,1,2008Q1,1220.33,3,2.33,0.001915709,55,0.9338,0,0,0,129,4.6,0.036977492,Train
16,16,CAMELOT BY-THE-WATER,2008,2,2008Q2,1172.5,2,-47.83,-0.039196941,56,0.933,0,0,0,129,0,0,Train
17,17,CAMELOT BY-THE-WATER,2009,2,2009Q2,1111,1,-61.5,-0.052452026,60,0.929,0,0,0,95.3,-4.7,-0.047,Train
18,18,CAMELOT BY-THE-WATER,2009,3,2009Q3,1181.5,4,70.5,0.063456346,61,0.9283,0,0,0,110.5,15.2,0.159496327,Train
19,19,CAMELOT BY-THE-WATER,2009,4,2009Q4,1325.67,3,144.17,0.122020031,62,0.9275,0,0,0,118.4,7.9,0.071493213,Train
20,20,CAMELOT BY-THE-WATER,2010,1,2010Q1,1417,1,91.33,0.068896153,63,0.9268,0,0,0,124.3,5.9,0.049831081,Train
21,21,CAMELOT BY-THE-WATER,2010,2,2010Q2,1489,4,72,0.050811574,64,0.926,0,0,0,130.5,6.2,0.049879324,Train
22,22,CAMELOT BY-THE-WATER,2010,4,2010Q4,1542,1,53,0.035594359,66,0.924,0,0,0,135,2.4,0.018099548,Train
23,23,CAMELOT BY-THE-WATER,2011,2,2011Q2,1339,1,-203,-0.131647211,68,0.922,0,0,0,139.2,1.9,0.01383831,Train
24,24,CAMELOT BY-THE-WATER,2011,3,2011Q3,1513,1,174,0.129947722,69,0.921,0,0,0,140.8,1.6,0.011494253,Train
25,25,CAMELOT BY-THE-WATER,2011,4,2011Q4,1340,1,-173,-0.114342366,70,0.92,0,0,0,141.2,0.4,0.002840909,Train
26,26,CAMELOT BY-THE-WATER,2012,2,2012Q2,1195,1,-145,-0.108208955,72,0.918,0,0,0,141.6,0.6,0.004255319,Train
27,27,CAMELOT BY-THE-WATER,2012,3,2012Q3,1458,2,263,0.220083682,73,0.917,0,0,0,142.3,0.7,0.004943503,Train
28,28,CAMELOT BY-THE-WATER,2012,4,2012Q4,1479,3,21,0.014403292,74,0.916,0,0,0,144.8,2.5,0.017568517,Train
29,29,CAMELOT BY-THE-WATER,2013,1,2013Q1,1544,1,65,0.043948614,75,0.915,0,0,0,145.9,1.1,0.007596685,Train
30,30,CAMELOT BY-THE-WATER,2013,3,2013Q3,1466,1,-78,-0.050518135,77,0.913,0,0,0,148.9,0.9,0.006081081,Train
31,31,CAMELOT BY-THE-WATER,2014,4,2014Q4,1790,1,324,0.22100955,82,0.9075,0,0,0,142.5,-1.4,-0.009728978,Train
32,32,CAMELOT BY-THE-WATER,2015,1,2015Q1,1365,2,-425,-0.237430168,83,0.9063,0,1,0,140.9,-1.6,-0.01122807,Train
33,33,CAMELOT BY-THE-WATER,2015,2,2015Q2,1411,1,46,0.033699634,84,0.905,0,1,0,139.8,-1.1,-0.007806955,Train
34,34,CAMELOT BY-THE-WATER,2015,3,2015Q3,1441,1,30,0.021261517,85,0.9038,0,1,0,137.7,-2.1,-0.015021459,Train
35,35,CAMELOT BY-THE-WATER,2016,4,2016Q4,1442.5,2,1.5,0.001040944,90,0.8975,0,1,0,133.8,-1.1,-0.008154188,Train
36,36,CAMELOT BY-THE-WATER,2017,3,2017Q3,1337,1,-105.5,-0.073136915,93,0.8938,0,1,0,134.5,0.8,0.005983545,Train
37,37,CAMELOT BY-THE-WATER,2017,4,2017Q4,1283.5,2,-53.5,-0.040014959,94,0.8925,0,1,0,135.6,1.1,0.008178439,Train
38,38,CAMELOT BY-THE-WATER,2018,2,2018Q2,1570.5,2,287,0.223607324,96,0.89,0,1,0,146.1,4.5,0.031779661,Train
39,39,CAMELOT BY-THE-WATER,2019,1,2019Q1,1647,1,76.5,0.048710602,99,0.8863,0,1,0,145.2,-1.6,-0.010899183,Train
40,40,CAMELOT BY-THE-WATER,2019,3,2019Q3,1536,2,-111,-0.067395264,101,0.8838,0,1,0,150,1.9,0.012829169,Test
41,41,CAMELOT BY-THE-WATER,2020,1,2020Q1,1375,1,-161,-0.104817708,103,0.8813,1,1,0,148.1,-1.5,-0.010026738,Test
42,42,CAMELOT BY-THE-WATER,2020,3,2020Q3,1676,1,301,0.218909091,105,0.8788,1,1,0,148.8,0.1,0.000672495,Test
43,43,CAMELOT BY-THE-WATER,2020,4,2020Q4,1548,1,-128,-0.076372315,106,0.8775,1,1,0,153.3,4.5,0.030241935,Test
44,44,CAMELOT BY-THE-WATER,2021,1,2021Q1,1727.5,2,179.5,0.115956072,107,0.8763,1,1,0,157.1,3.8,0.024787997,Test
45,45,CAMELOT BY-THE-WATER,2021,3,2021Q3,1670,1,-57.5,-0.033285094,109,0.8738,1,1,0,159.9,1.1,0.006926952,Test
