Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SEVENTY SAINT PATRICK'S,"2,580,000","1,216.33","2,121",Feb-23,ST. PATRICK'S ROAD,Resale,Strata,113,"22,832",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
NEPTUNE COURT,"1,800,000","1,636.13","1,100",Feb-23,MARINE VISTA,Resale,Strata,152,"11,842",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
VILLA MARINA,"1,668,000","1,280.92","1,302",Feb-23,JALAN SEMPADAN,Resale,Strata,119,"14,017",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
THE ESTA,"2,208,000","1,001.05","2,206",Feb-23,AMBER GARDENS,Resale,Strata,93,"23,742",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20
SUITES @ EASTCOAST,"946,000",570.49,"1,658",Feb-23,UPPER EAST COAST ROAD,Resale,Strata,53,"17,849",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
HAIG 162,"628,000",365.98,"1,716",Feb-23,HAIG ROAD,Resale,Strata,34,"18,471",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
THE ESTA,"2,300,000","1,130.22","2,035",Feb-23,AMBER GARDENS,Resale,Strata,105,"21,905",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
PEBBLE BAY,"3,450,000","1,894.46","1,821",Feb-23,TANJONG RHU ROAD,Resale,Strata,176,"19,602",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,06 to 10
EASTCOVE RESIDENCES,"1,310,000","1,065.64","1,229",Feb-23,JOO CHIAT PLACE,Resale,Strata,99,"13,232",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLAMINGO VALLEY,"1,488,000",839.59,"1,772",Feb-23,SIGLAP ROAD,Resale,Strata,78,"19,077",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05
STUDIOS@TEMBELING,"1,133,000",785.77,"1,442",Feb-23,TEMBELING ROAD,Resale,Strata,73,"15,521",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
HAIG 162,"688,000",365.98,"1,880",Feb-23,HAIG ROAD,Resale,Strata,34,"20,235",-,Apartment,1,Freehold,15,Rest of Central Region,11 to 15
IMPERIAL HEIGHTS,"880,000",581.26,"1,514",Jan-23,IPOH LANE,Resale,Strata,54,"16,296",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
BUTTERWORTH 8,"2,330,000","1,313.21","1,774",Jan-23,BUTTERWORTH LANE,Resale,Strata,122,"19,098",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
THE SERENNO,"1,280,000",775.01,"1,652",Jan-23,HAIG ROAD,Resale,Strata,72,"17,778",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
WATER PLACE,"1,960,000","1,227.1","1,597",Jan-23,TANJONG RHU ROAD,Resale,Strata,114,"17,193",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
IVORY,"1,168,000",871.88,"1,340",Jan-23,CEYLON LANE,Resale,Strata,81,"14,420",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
EVERITT EDGE,"880,000",645.84,"1,363",Jan-23,JOO CHIAT PLACE,Resale,Strata,60,"14,667",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
TANJONG RIA CONDOMINIUM,"1,820,000","1,280.92","1,421",Jan-23,TANJONG RHU ROAD,Resale,Strata,119,"15,294",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05
MANDARIN GARDENS,"1,960,000","1,528.49","1,282",Jan-23,SIGLAP ROAD,Resale,Strata,142,"13,803",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,01 to 05
THE BELVEDERE,"3,000,000","1,377.79","2,177",Jan-23,MEYER ROAD,Resale,Strata,128,"23,438",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE MONTAGE,"1,860,000","1,248.62","1,490",Jan-23,LORONG M TELOK KURAU,Resale,Strata,116,"16,034",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
AALTO,"3,500,000","1,442.38","2,427",Jan-23,MEYER ROAD,Resale,Strata,134,"26,119",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE SEAFRONT ON MEYER,"3,700,000","1,980.58","1,868",Jan-23,MEYER ROAD,Resale,Strata,184,"20,109",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
