quarter,property_type,index
1975-Q1,All Residential,8.9
1975-Q1,Landed,7.4
1975-Q1,Non-Landed,10.5
1975-Q2,All Residential,9.1
1975-Q2,Landed,7.7
1975-Q2,Non-Landed,11.2
1975-Q3,All Residential,9.1
1975-Q3,Landed,7.8
1975-Q3,Non-Landed,11.5
1975-Q4,All Residential,9.1
1975-Q4,Landed,7.9
1975-Q4,Non-Landed,11.5
1976-Q1,All Residential,9.5
1976-Q1,Landed,7.9
1976-Q1,Non-Landed,11.5
1976-Q2,All Residential,9.5
1976-Q2,Landed,8
1976-Q2,Non-Landed,11.7
1976-Q3,All Residential,9.8
1976-Q3,Landed,8
1976-Q3,Non-Landed,11.7
1976-Q4,All Residential,9.5
1976-Q4,Landed,8
1976-Q4,Non-Landed,11.5
1977-Q1,All Residential,9.5
1977-Q1,Landed,7.9
1977-Q1,Non-Landed,11.5
1977-Q2,All Residential,9.5
1977-Q2,Landed,7.9
1977-Q2,Non-Landed,11.5
1977-Q3,All Residential,9.5
1977-Q3,Landed,7.7
1977-Q3,Non-Landed,11.5
1977-Q4,All Residential,9.1
1977-Q4,Landed,7.6
1977-Q4,Non-Landed,11.5
1978-Q1,All Residential,9.1
1978-Q1,Landed,7.5
1978-Q1,Non-Landed,11.5
1978-Q2,All Residential,9.5
1978-Q2,Landed,7.6
1978-Q2,Non-Landed,11.7
1978-Q3,All Residential,9.5
1978-Q3,Landed,7.9
1978-Q3,Non-Landed,11.7
1978-Q4,All Residential,9.8
1978-Q4,Landed,7.9
1978-Q4,Non-Landed,12.1
1979-Q1,All Residential,10.4
1979-Q1,Landed,8.4
1979-Q1,Non-Landed,12.7
1979-Q2,All Residential,10.9
1979-Q2,Landed,9
1979-Q2,Non-Landed,13.3
1979-Q3,All Residential,11.9
1979-Q3,Landed,9.8
1979-Q3,Non-Landed,14.6
1979-Q4,All Residential,12.7
1979-Q4,Landed,10.6
1979-Q4,Non-Landed,15.8
1980-Q1,All Residential,15.1
1980-Q1,Landed,12.3
1980-Q1,Non-Landed,18.9
1980-Q2,All Residential,17.7
1980-Q2,Landed,14.3
1980-Q2,Non-Landed,22
1980-Q3,All Residential,20.4
1980-Q3,Landed,16.2
1980-Q3,Non-Landed,25.8
1980-Q4,All Residential,23.9
1980-Q4,Landed,18.7
1980-Q4,Non-Landed,31
1981-Q1,All Residential,30.5
1981-Q1,Landed,23.7
1981-Q1,Non-Landed,39.6
1981-Q2,All Residential,34.6
1981-Q2,Landed,27.3
1981-Q2,Non-Landed,44.3
1981-Q3,All Residential,34
1981-Q3,Landed,27.4
1981-Q3,Non-Landed,43.1
1981-Q4,All Residential,32.2
1981-Q4,Landed,26.4
1981-Q4,Non-Landed,40
1982-Q1,All Residential,32
1982-Q1,Landed,27
1982-Q1,Non-Landed,38.7
1982-Q2,All Residential,32.8
1982-Q2,Landed,28.2
1982-Q2,Non-Landed,39
1982-Q3,All Residential,33.5
1982-Q3,Landed,29.2
1982-Q3,Non-Landed,38.7
1982-Q4,All Residential,34.6
1982-Q4,Landed,30.6
1982-Q4,Non-Landed,39.6
1983-Q1,All Residential,36.1
1983-Q1,Landed,32.6
1983-Q1,Non-Landed,40.6
1983-Q2,All Residential,37.2
1983-Q2,Landed,34
1983-Q2,Non-Landed,41.2
1983-Q3,All Residential,37.5
1983-Q3,Landed,35.4
1983-Q3,Non-Landed,40.6
1983-Q4,All Residential,37.5
1983-Q4,Landed,35.5
1983-Q4,Non-Landed,39.6
1984-Q1,All Residential,37.2
1984-Q1,Landed,36.9
1984-Q1,Non-Landed,38.1
1984-Q2,All Residential,35.5
1984-Q2,Landed,36.2
1984-Q2,Non-Landed,35.4
1984-Q3,All Residential,34.6
1984-Q3,Landed,35.8
1984-Q3,Non-Landed,33.7
1984-Q4,All Residential,33.1
1984-Q4,Landed,33.4
1984-Q4,Non-Landed,33.1
1985-Q1,All Residential,31
1985-Q1,Landed,31.8
1985-Q1,Non-Landed,30.9
1985-Q2,All Residential,30.2
1985-Q2,Landed,29.7
1985-Q2,Non-Landed,31.3
1985-Q3,All Residential,28.7
1985-Q3,Landed,28.2
1985-Q3,Non-Landed,29.9
1985-Q4,All Residential,28.1
1985-Q4,Landed,28.1
1985-Q4,Non-Landed,28.5
1986-Q1,All Residential,26.3
1986-Q1,Landed,26.1
1986-Q1,Non-Landed,26.5
1986-Q2,All Residential,23.9
1986-Q2,Landed,24.5
1986-Q2,Non-Landed,23.5
1986-Q3,All Residential,25.3
1986-Q3,Landed,26
1986-Q3,Non-Landed,24.8
1986-Q4,All Residential,27.9
1986-Q4,Landed,29.6
1986-Q4,Non-Landed,26.5
1987-Q1,All Residential,28.5
1987-Q1,Landed,30.4
1987-Q1,Non-Landed,26.8
1987-Q2,All Residential,29.7
1987-Q2,Landed,31.4
1987-Q2,Non-Landed,28.3
1987-Q3,All Residential,32
1987-Q3,Landed,33.6
1987-Q3,Non-Landed,31
1987-Q4,All Residential,32
1987-Q4,Landed,32.6
1987-Q4,Non-Landed,31.4
1988-Q1,All Residential,31.4
1988-Q1,Landed,32.6
1988-Q1,Non-Landed,30.7
1988-Q2,All Residential,32.2
1988-Q2,Landed,33.3
1988-Q2,Non-Landed,31.6
1988-Q3,All Residential,32.6
1988-Q3,Landed,33
1988-Q3,Non-Landed,32.6
1988-Q4,All Residential,34
1988-Q4,Landed,34
