"","Adjusted R^2","RMSE testing","RMSE training"
"CAMELOT BY-THE-WATER",0.106502977748768,0.168770767553188,0.113677477561846
"CASUARINA COVE",0.299066962490751,0.0584038322885894,0.100669178874706
"COSTA RHU",-0.0206943046805321,0.0322498208101743,0.0777656201104824
"COTE D'AZUR",-0.0743817781673399,0.0339033134673915,0.106932697140599
"DUNMAN VIEW",0.170694346150137,0.0376117744679621,0.0790481984085447
"EAST BAY GARDENS",-0.0476189089572883,0.064873651744369,0.0856518918517116
"KATONG PARK TOWERS",0.0935176320440778,0.10897231417199,0.146636246700857
"LAGOON VIEW",0.111506677000379,0.0945826723538046,0.124641295615156
"LAGUNA PARK",0.260550535083941,0.0638464313564244,0.101780440253985
"LEGENDA AT JOO CHIAT",0.1850773026193,0.199876214871057,0.130631939033204
"MANDARIN GARDENS",0.181224921441271,0.0826995253852452,0.0588045012086699
"NEPTUNE COURT",0.286785783096326,0.0589452169475019,0.0812815256764056
"PEBBLE BAY",-0.0319547652100471,0.0479609516092378,0.110766587459922
"RIVEREDGE",0.0247851466138566,0.060480568009071,0.0758628626543263
"ROXY SQUARE",0.00811711661700731,0.261358942124311,0.35413160785881
"SANCTUARY GREEN",-0.0813917445815071,0.0549982863140454,0.0514978416155632
"SILVERSEA",-0.030688533462907,0.0799577401886045,0.0860994369745761
"TANJONG RIA CONDOMINIUM",0.088759437912282,0.0511316163974796,0.122695332991509
"THE SHORE RESIDENCES",0.0619902186040653,0.0262294718882873,0.0472553737157362
"VILLA MARINA",0.0694114159065076,0.0504457964795801,0.0774420505324624
"WATER PLACE",-0.0684237000446919,0.0442425231047185,0.0287785232478099
"District 15",0.103375880956821,0.100115976256413,0.118340969948985
