".id","(Intercept)","DPPI_percent","log(Age_Q)","MRT","DPPI_percent:log(Age_Q)","DPPI_percent:MRT","log(Vol)","DPPI_percent:log(Vol)","Covid","DPPI_percent:Covid","log(Vol):log(Age_Q)","log(Age_Q):log(Vol)"
"CAMELOT BY-THE-WATER",-0.413722010246238,38.9291605234189,0.103842408778631,-0.0479888389644903,-9.3386913734561,7.78208553088559,0,0,0,0,0,0
"CASUARINA COVE",-0.000514429666811122,1.6716778241541,0,0,0,0,0,0,0,0,0,0
"COSTA RHU",-0.0821872167585823,1.63732274952881,0,0,0,0,0.0793813093120902,-2.35169758491529,0,0,0,0
"COTE D'AZUR",0.012269509721564,-0.280067965769305,0,0,0,0,0,0,0,0,0,0
"DUNMAN VIEW",0.00104472648309762,1.02628210140912,0,0,0,0,0,0,0,0,0,0
"EAST BAY GARDENS",-0.037417672147217,2.11335149531996,0,0,0,0,0.113121830876218,-2.09849633379561,0,0,0,0
"KATONG PARK TOWERS",0.0097832735940349,0.993951869962195,0,0,0,0,0,0,0,0,0,0
"LAGOON VIEW",-0.0240754826666772,0.914951633714144,0,0,0,0,0.0399921063041355,0,0,0,0,0
"LAGUNA PARK",0.109261640367256,-8.77515208271667,-0.0218375680039664,0,1.92175564612182,0,-0.00650434439756228,0.792633684911172,0,0,0,0
"LEGENDA AT JOO CHIAT",0.0278021125596314,1.79112584928777,0,0,0,0,-0.041611533865706,0,0,0,0,0
"MANDARIN GARDENS",-18.1608814173202,0.229078971209215,3.5765664280189,0,0,0,6.93025039465252,5.50003200724354,0.03062689188601,-10.8322911894387,-1.36824682373919,0
"NEPTUNE COURT",0.934693397739795,-0.527976834660983,-0.205771079978183,0,0,0,-0.577419566607713,0.856305577035777,0,0,0,0.126475753294845
"PEBBLE BAY",31.8373062096245,592.48606018506,-6.72523409276071,0,-130.464110284675,0,-18.2890064962123,7.74208192843311,-0.017723044730635,19.2044786296629,3.85447128779832,0
"RIVEREDGE",-0.0172733199216939,0.281217453375728,0,0,0,0,0.0410911977084013,0,0,0,0,0
"ROXY SQUARE",-0.563089664788291,-1.68888901320699,0.190204494974785,0,0,0,0,0,0,0,0,0
"SANCTUARY GREEN",-12.7061781751863,-0.801409613253321,2.75871398732079,0,0,0,3.93932971154097,0,-0.146123275088081,0,-0.841228959448339,0
"SILVERSEA",-0.00728639346330489,-9.43782486730824,0,0,0,0,0.000911867816296092,6.02426943588689,0,0,0,0
"TANJONG RIA CONDOMINIUM",0.00319482630774886,1.10989632654154,0,0,0,0,0,0,0,0,0,0
"THE SHORE RESIDENCES",-0.120598755316329,-70.841456995064,0.0267288599356126,0,19.4686905597155,0,0,0,0.0326991689085118,-7.21208532907073,0,0
"VILLA MARINA",-10.0807083413484,454.988898651154,2.1899453822052,0,-98.8733314897218,0,11.4488985765739,3.80863795048348,0.0590713909609473,10.905024362971,-2.47368375934564,0
"WATER PLACE",-1.40424575291804,-3.26491691012921,0.325611390849934,0,0,0,-0.0582943971435417,2.73716262602426,0,0,0,0
"District 15",0.0231589520992636,-0.864656274431489,-0.00473153676674275,0.00445354884015811,0.343178035715368,-0.900690287941945,0.00347005879660221,0.337242407813602,0,0,0,0
