"","Adj R2 (training)","RMSE (testing)","RMSE (training)"
"CAMELOT BY-THE-WATER",0.14600020180613,0.198368141603383,0.104957352061187
"CASUARINA COVE",0.299066962490751,0.0584038322885894,0.100669178874706
"COSTA RHU",0.116696892752919,0.0854102719090286,0.066545599088921
"COTE D'AZUR",-0.0743817781673399,0.0339033134673915,0.106932697140599
"DUNMAN VIEW",0.170694346150137,0.0376117744679621,0.0790481984085447
"EAST BAY GARDENS",0.23451392127858,0.079846263305055,0.069641977937971
"KATONG PARK TOWERS",0.0935176320440778,0.10897231417199,0.146636246700857
"LAGOON VIEW",0.149911192899488,0.0995667199855146,0.121123511514911
"LAGUNA PARK",0.297035686938357,0.0648952360738884,0.0964805631861082
"LEGENDA AT JOO CHIAT",0.194734496252922,0.201354255175623,0.128300396051278
"MANDARIN GARDENS",0.697346996381235,0.0875792838801479,0.0262348207303764
"NEPTUNE COURT",0.425416378613916,0.0715462822150794,0.0711539226403761
"PEBBLE BAY",0.228459703656316,0.191120629454438,0.0650671375252004
"RIVEREDGE",0.118896475468241,0.0582451850926194,0.0710719086256865
"ROXY SQUARE",0.0135674628530632,0.36082241530013,0.34031088943285
"SANCTUARY GREEN",0.652080582055255,0.0498122515757994,0.0233018023289418
"SILVERSEA",0.0718243828336484,0.111199110299898,0.0777174996859695
"TANJONG RIA CONDOMINIUM",0.088759437912282,0.0511316163974796,0.122695332991509
"THE SHORE RESIDENCES",0.214427694996196,0.0391653278935079,0.0394775304872373
"VILLA MARINA",0.307518819060804,0.11380963915767,0.04312174731641
"WATER PLACE",0.0518566576117545,0.0485060899780614,0.0234781773952747
"District 15",0.114566203528725,0.100534919141874,0.117130710083997
